date,headache,icecream,z,wine
2022-06-03,FALSE,FALSE,7.478864224627614,0
2022-06-04,FALSE,FALSE,5.99203928350471,0
2022-06-05,FALSE,FALSE,6.822817047126591,0
2022-06-06,FALSE,FALSE,6.241321966284886,0
2022-06-07,FALSE,FALSE,5.727899228222668,0
2022-06-08,FALSE,FALSE,7.086273773340508,0
2022-06-09,FALSE,FALSE,6.719743005465716,0
2022-06-10,FALSE,FALSE,7.080985613865778,0
2022-06-11,FALSE,FALSE,7.133338450221345,0
2022-06-12,FALSE,TRUE,7.678248658310622,0
2022-06-13,FALSE,FALSE,8.314298724988475,0
2022-06-14,FALSE,FALSE,5.819189614616334,0
2022-06-15,FALSE,FALSE,6.117906362982467,0
2022-06-16,FALSE,FALSE,5.889197187963873,2
2022-06-17,FALSE,FALSE,6.94603214552626,0
2022-06-18,FALSE,FALSE,5.5874051242135465,0
2022-06-19,FALSE,FALSE,7.412820170400664,0
2022-06-20,TRUE,FALSE,7.852556502446532,0
2022-06-21,FALSE,FALSE,8.347372476477176,0
2022-06-22,FALSE,FALSE,5.9301657227333635,0
2022-06-23,FALSE,FALSE,7.941275750519708,2
2022-06-24,FALSE,FALSE,8.04772209865041,0
2022-06-25,FALSE,FALSE,5.904805862577632,0
2022-06-26,FALSE,FALSE,6.841694701695815,0
2022-06-27,TRUE,TRUE,5.920517697464675,0
2022-06-28,FALSE,FALSE,7.13217377779074,0
2022-06-29,FALSE,FALSE,6.476265331963077,0
2022-06-30,FALSE,FALSE,5.935336835216731,0
2022-07-01,TRUE,TRUE,8.444958675187081,0
2022-07-02,FALSE,FALSE,6.587979449890554,0
2022-07-03,FALSE,FALSE,6.1941664344631135,0
2022-07-04,FALSE,FALSE,6.916114852530882,0
2022-07-05,FALSE,FALSE,5.940269102575257,0
2022-07-06,FALSE,FALSE,7.270251449663192,0
2022-07-07,FALSE,FALSE,7.814320778939873,1
2022-07-08,TRUE,FALSE,6.48481672629714,0
2022-07-09,FALSE,FALSE,7.1731328228488564,0
2022-07-10,FALSE,FALSE,7.899819975718856,0
2022-07-11,FALSE,TRUE,7.415450928499922,0
2022-07-12,TRUE,TRUE,6.8322145491838455,0
2022-07-13,FALSE,FALSE,8.098225229186937,0
2022-07-14,FALSE,FALSE,7.558452123310417,2
2022-07-15,FALSE,FALSE,7.001984648872167,0
2022-07-16,FALSE,FALSE,6.388219687854871,0
2022-07-17,FALSE,FALSE,6.9547139902133495,0
2022-07-18,FALSE,FALSE,6.591548465657979,0
2022-07-19,FALSE,TRUE,8.141855600755662,0
2022-07-20,FALSE,FALSE,6.860280501190573,0
2022-07-21,FALSE,FALSE,5.741501222830266,2
2022-07-22,FALSE,FALSE,6.396374229108915,0
2022-07-23,FALSE,FALSE,6.268821484642103,0
2022-07-24,FALSE,FALSE,8.449482208816335,0
2022-07-25,FALSE,FALSE,8.21947833779268,0
2022-07-26,FALSE,FALSE,7.000595277873799,0
2022-07-27,FALSE,FALSE,7.453004161128774,0
2022-07-28,FALSE,TRUE,5.958113997010514,0
2022-07-29,FALSE,FALSE,8.3772087877150625,0
2022-07-30,FALSE,FALSE,6.416629160288721,0
2022-07-31,FALSE,FALSE,8.462724498938769,0
2022-08-01,FALSE,FALSE,8.003185136243701,0
2022-08-02,FALSE,FALSE,5.98930803546682,0
2022-08-03,FALSE,FALSE,6.487920162966475,0
2022-08-04,FALSE,FALSE,7.848656830377877,0
2022-08-05,FALSE,FALSE,5.996025137603283,0
2022-08-06,FALSE,FALSE,6.470028344541788,0
2022-08-07,FALSE,FALSE,8.011031728470698,0
2022-08-08,FALSE,FALSE,6.262329087359831,0
2022-08-09,FALSE,FALSE,7.072748153936118,0
2022-08-10,FALSE,FALSE,8.046533724991605,0
2022-08-11,FALSE,TRUE,7.4727658606134355,1
2022-08-12,FALSE,FALSE,6.233448096551001,0
2022-08-13,FALSE,FALSE,6.480620883172378,0
2022-08-14,TRUE,FALSE,6.333344470709562,0
2022-08-15,FALSE,FALSE,7.051465752301738,0
2022-08-16,FALSE,FALSE,6.690536229638383,0
2022-08-17,FALSE,FALSE,5.676117351045832,0
2022-08-18,FALSE,TRUE,6.467565384460613,1
2022-08-19,FALSE,FALSE,6.076945269247517,0
2022-08-20,FALSE,FALSE,7.316447285702452,0
2022-08-21,FALSE,FALSE,6.737242559203878,0
2022-08-22,FALSE,TRUE,7.79135688720271,0
2022-08-23,FALSE,FALSE,5.657863205997273,0
2022-08-24,FALSE,FALSE,7.3428262050729245,0
2022-08-25,FALSE,FALSE,8.248180702561513,1
2022-08-26,TRUE,FALSE,7.5251331948675215,0
2022-08-27,FALSE,FALSE,6.139746759086847,0
2022-08-28,FALSE,FALSE,7.471462724730372,0
2022-08-29,FALSE,FALSE,7.549195010447875,0
2022-08-30,FALSE,TRUE,6.376462249783799,0
2022-08-31,FALSE,FALSE,7.301826298236847,0
2022-09-01,FALSE,FALSE,5.530601940117776,2
2022-09-02,FALSE,FALSE,7.2378728066105396,0
2022-09-03,FALSE,FALSE,7.826009046053514,0
2022-09-04,FALSE,FALSE,8.07364916219376,0
2022-09-05,FALSE,FALSE,7.86093366285786,0
2022-09-06,FALSE,TRUE,5.8263251930475235,0
2022-09-07,TRUE,FALSE,7.734365348471329,0
2022-09-08,TRUE,FALSE,6.346517705125734,0
